arm,seed,depth,nll,ppl,best_depth,training_seconds,peak_allocated_bytes,presented_tokens
combined_fixed16,17,1,4.568524115723051,96.4017269353397,16,138.60138140898198,598703104,4997120
combined_fixed16,17,2,3.1231211131430427,22.71717197429187,16,138.60138140898198,598703104,4997120
combined_fixed16,17,4,2.7549438857492703,15.72015875312346,16,138.60138140898198,598703104,4997120
combined_fixed16,17,8,2.4542930261577354,11.638202734832674,16,138.60138140898198,598703104,4997120
combined_fixed16,17,12,2.11360826639806,8.278056895481562,16,138.60138140898198,598703104,4997120
combined_fixed16,17,16,1.923303099067443,6.843526021761957,16,138.60138140898198,598703104,4997120
combined_fixed16,17,24,1.928320816823291,6.877951199478428,16,138.60138140898198,598703104,4997120
combined_fixed16,17,32,1.9494569460759692,7.024871660436853,16,138.60138140898198,598703104,4997120
combined_fixed16,17,48,2.023858505507036,7.567467789710842,16,138.60138140898198,598703104,4997120
combined_fixed16,17,64,2.110345408227772,8.251090787123495,16,138.60138140898198,598703104,4997120
combined_random8_16_aux,17,1,2.7175766672604595,15.143579810613913,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,2,2.0531642894497395,7.792519923814541,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,4,1.8735665500071264,6.5114785484293085,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,8,1.8579697036305483,6.4107079126816195,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,12,1.8616832107609866,6.434558379256942,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,16,1.8641636801435464,6.450538915729043,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,24,1.8763852559458414,6.529858383189138,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,32,1.8934283211143779,6.642100946944646,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,48,1.933140744089883,6.911182445763284,8,105.00981013802812,626098176,4997120
combined_random8_16_aux,17,64,1.9733943290181912,7.195057478773988,8,105.00981013802812,626098176,4997120
combined_random8_16,17,1,3.302755530179681,27.187451642473533,8,104.53223920008168,598703104,4997120
combined_random8_16,17,2,2.436287905275748,11.430530678289925,8,104.53223920008168,598703104,4997120
combined_random8_16,17,4,2.1119249130071793,8.264133722434744,8,104.53223920008168,598703104,4997120
combined_random8_16,17,8,1.8891986348732424,6.614066274686469,8,104.53223920008168,598703104,4997120
combined_random8_16,17,12,1.9037484120779702,6.711002958893088,8,104.53223920008168,598703104,4997120
combined_random8_16,17,16,1.9089397088534934,6.745932352895055,8,104.53223920008168,598703104,4997120
combined_random8_16,17,24,1.924718749188333,6.8532209208754304,8,104.53223920008168,598703104,4997120
combined_random8_16,17,32,1.944472069914994,6.9899406807999345,8,104.53223920008168,598703104,4997120
combined_random8_16,17,48,1.9976342968147094,7.371596445702567,8,104.53223920008168,598703104,4997120
combined_random8_16,17,64,2.047574267915934,7.749081094748635,8,104.53223920008168,598703104,4997120
relative_fixed16,17,1,3.3240060728943845,27.77138219105316,12,115.89100982667878,589920256,4997120
relative_fixed16,17,2,2.28460593710394,9.821815048441579,12,115.89100982667878,589920256,4997120
relative_fixed16,17,4,1.9526889561730254,7.047612846649649,12,115.89100982667878,589920256,4997120
relative_fixed16,17,8,1.8782176673527111,6.5418347396306995,12,115.89100982667878,589920256,4997120
relative_fixed16,17,12,1.8733422457554525,6.510018159898014,12,115.89100982667878,589920256,4997120
relative_fixed16,17,16,1.8778812255999604,6.539634163488298,12,115.89100982667878,589920256,4997120
relative_fixed16,17,24,1.8928341603248704,6.638155643190485,12,115.89100982667878,589920256,4997120
relative_fixed16,17,32,1.9087291072624826,6.744511798399453,12,115.89100982667878,589920256,4997120
relative_fixed16,17,48,1.9364774358791284,6.934281447177138,12,115.89100982667878,589920256,4997120
relative_fixed16,17,64,1.9584159466993825,7.088090254889744,12,115.89100982667878,589920256,4997120
