arm,seed,depth,nll,ppl,best_depth,presented_tokens
combined_random8_16_aux,23,1,6.477089466716485,650.0761219444202,12,24969216
combined_random8_16_aux,23,2,4.9000479282102,134.29621610796582,12,24969216
combined_random8_16_aux,23,4,4.357521581612746,78.06342065323894,12,24969216
combined_random8_16_aux,23,8,4.251266017515515,70.1942232328577,12,24969216
combined_random8_16_aux,23,12,4.241160116650719,69.48841976842617,12,24969216
combined_random8_16_aux,23,16,4.248053046923445,69.96905318395591,12,24969216
combined_random8_16_aux,23,24,4.30211232368108,73.85563605592185,12,24969216
combined_random8_16_aux,23,32,4.359112181615199,78.18768713325359,12,24969216
combined_random8_16_aux,23,48,4.471842006920571,87.51778299304917,12,24969216
combined_random8_16_aux,23,64,4.573321840163213,96.86534712839016,12,24969216
combined_random8_16_aux,47,1,5.773221474908938,321.5720019522935,12,24969216
combined_random8_16_aux,47,2,4.635035477926349,103.0315732769564,12,24969216
combined_random8_16_aux,47,4,4.304151293485826,74.00637909577853,12,24969216
combined_random8_16_aux,47,8,4.217465069198337,67.86124251727037,12,24969216
combined_random8_16_aux,47,12,4.205809874273899,67.074897909393,12,24969216
combined_random8_16_aux,47,16,4.211476369808145,67.45605641545303,12,24969216
combined_random8_16_aux,47,24,4.260809066156419,70.86729659736184,12,24969216
combined_random8_16_aux,47,32,4.3067597602564485,74.199674268882,12,24969216
combined_random8_16_aux,47,48,4.4093335362533725,82.21465215623861,12,24969216
combined_random8_16_aux,47,64,4.496317278265271,89.68623293187285,12,24969216
combined_random8_24_final,23,1,7.24155264231444,1396.2601813958213,16,24969216
combined_random8_24_final,23,2,5.356067889155365,211.89013075024496,16,24969216
combined_random8_24_final,23,4,4.713654926530639,111.45879004019308,16,24969216
combined_random8_24_final,23,8,4.279068369603525,72.17316995783676,16,24969216
combined_random8_24_final,23,12,4.239771021939493,69.3919607828782,16,24969216
combined_random8_24_final,23,16,4.235719613939343,69.11139436609496,16,24969216
combined_random8_24_final,23,24,4.248981331018848,70.03403449909135,16,24969216
combined_random8_24_final,23,32,4.281754736812516,72.3673142496555,16,24969216
combined_random8_24_final,23,48,4.3547371891249345,77.84636377720068,16,24969216
combined_random8_24_final,23,64,4.428235959294308,83.78348898815143,16,24969216
combined_random8_24_final,47,1,6.662835826332167,782.7675855573933,16,24969216
combined_random8_24_final,47,2,5.044101384914028,155.10485699090836,16,24969216
combined_random8_24_final,47,4,4.523518740184485,92.1593127872753,16,24969216
combined_random8_24_final,47,8,4.232383262917565,68.88119871516285,16,24969216
combined_random8_24_final,47,12,4.194831232126183,66.3425341440068,16,24969216
combined_random8_24_final,47,16,4.185767177296029,65.74391881639879,16,24969216
combined_random8_24_final,47,24,4.194374120795705,66.31221515006271,16,24969216
combined_random8_24_final,47,32,4.217003785789901,67.82994647074975,16,24969216
combined_random8_24_final,47,48,4.2723966663152355,71.69325468879146,16,24969216
combined_random8_24_final,47,64,4.328816359673398,75.85444902718639,16,24969216
combined_random8_24_aux,23,1,5.833894909772724,341.6869304475624,16,24969216
combined_random8_24_aux,23,2,4.672206091150993,106.93338720921994,16,24969216
combined_random8_24_aux,23,4,4.335523243850946,76.36490590528419,16,24969216
combined_random8_24_aux,23,8,4.225343707098633,68.39800838995227,16,24969216
combined_random8_24_aux,23,12,4.207494988271042,67.18802204548064,16,24969216
combined_random8_24_aux,23,16,4.205460864391934,67.05149219184175,16,24969216
combined_random8_24_aux,23,24,4.217376978445842,67.85526483264506,16,24969216
combined_random8_24_aux,23,32,4.245175114510903,69.76797645931924,16,24969216
combined_random8_24_aux,23,48,4.315594174868938,74.85808902770553,16,24969216
combined_random8_24_aux,23,64,4.389998969406262,80.64033587300902,16,24969216
combined_random8_24_aux,47,1,5.839114876400034,343.47518808353425,16,24969216
combined_random8_24_aux,47,2,4.6493092616328395,104.51276965897115,16,24969216
combined_random8_24_aux,47,4,4.320997432095648,75.26366125703241,16,24969216
combined_random8_24_aux,47,8,4.214267378189938,67.64458981106964,16,24969216
combined_random8_24_aux,47,12,4.195829519726286,66.40879614196469,16,24969216
combined_random8_24_aux,47,16,4.193891492971991,66.2802187517763,16,24969216
combined_random8_24_aux,47,24,4.203238254015856,66.90262834401334,16,24969216
combined_random8_24_aux,47,32,4.2312116971197655,68.80054711219154,16,24969216
combined_random8_24_aux,47,48,4.297824017607262,73.53959860022383,16,24969216
combined_random8_24_aux,47,64,4.363962485885174,78.5678423950836,16,24969216
