arm,seed,train_loops,eval_loops,nll,tokens_seen,training_seconds,parameters
add,17,4,1,3.4593161178345326,98304,5.599080459,90561
add,17,4,2,3.2102768745389767,98304,5.599080459,90561
add,17,4,4,3.1473400189279346,98304,5.599080459,90561
add,17,4,6,3.161887549678795,98304,5.599080459,90561
add,17,4,8,3.1913836578751216,98304,5.599080459,90561
add,17,4,12,3.2773293448699405,98304,5.599080459,90561
add,17,4,16,3.3681736824219115,98304,5.599080459,90561
add,29,4,1,3.3714612869371194,98304,5.527651000999988,90561
add,29,4,2,3.192151423107134,98304,5.527651000999988,90561
add,29,4,4,3.143382618261967,98304,5.527651000999988,90561
add,29,4,6,3.159572195421788,98304,5.527651000999988,90561
add,29,4,8,3.1914636033179704,98304,5.527651000999988,90561
add,29,4,12,3.2799180003930815,98304,5.527651000999988,90561
add,29,4,16,3.3737337604979984,98304,5.527651000999988,90561
add,43,4,1,3.367166440351866,98304,5.17356233400001,90561
add,43,4,2,3.2118839200702496,98304,5.17356233400001,90561
add,43,4,4,3.1666075366083533,98304,5.17356233400001,90561
add,43,4,6,3.179145256319316,98304,5.17356233400001,90561
add,43,4,8,3.204782490764046,98304,5.17356233400001,90561
add,43,4,12,3.2823630302445963,98304,5.17356233400001,90561
add,43,4,16,3.361245144100394,98304,5.17356233400001,90561
relative,17,4,1,3.285095674043987,98304,4.870633583000002,90561
relative,17,4,2,3.119273851363687,98304,4.870633583000002,90561
relative,17,4,4,3.081167828742764,98304,4.870633583000002,90561
relative,17,4,6,3.0885586007498205,98304,4.870633583000002,90561
relative,17,4,8,3.1000733916735044,98304,4.870633583000002,90561
relative,17,4,12,3.121984301309567,98304,4.870633583000002,90561
relative,17,4,16,3.140444938035216,98304,4.870633583000002,90561
relative,29,4,1,3.3154030458536,98304,5.577964918000006,90561
relative,29,4,2,3.1688711167662404,98304,5.577964918000006,90561
relative,29,4,4,3.1361721352586756,98304,5.577964918000006,90561
relative,29,4,6,3.147005143604474,98304,5.577964918000006,90561
relative,29,4,8,3.1605275620677276,98304,5.577964918000006,90561
relative,29,4,12,3.183658279289375,98304,5.577964918000006,90561
relative,29,4,16,3.201792581283371,98304,5.577964918000006,90561
relative,43,4,1,3.3034516643965617,98304,5.618545416999993,90561
relative,43,4,2,3.16566531972785,98304,5.618545416999993,90561
relative,43,4,4,3.1305522147595184,98304,5.618545416999993,90561
relative,43,4,6,3.138218453677837,98304,5.618545416999993,90561
relative,43,4,8,3.1513164179195883,98304,5.618545416999993,90561
relative,43,4,12,3.176997894537635,98304,5.618545416999993,90561
relative,43,4,16,3.1973904125916306,98304,5.618545416999993,90561
depth_rope,17,4,1,3.4230873126361985,98304,4.948374208000001,90561
depth_rope,17,4,2,3.176526672352338,98304,4.948374208000001,90561
depth_rope,17,4,4,3.1226124385284493,98304,4.948374208000001,90561
depth_rope,17,4,6,3.136941531323828,98304,4.948374208000001,90561
depth_rope,17,4,8,3.166790550632868,98304,4.948374208000001,90561
depth_rope,17,4,12,3.239102837134851,98304,4.948374208000001,90561
depth_rope,17,4,16,3.3120808199455496,98304,4.948374208000001,90561
depth_rope,29,4,1,3.448088182049105,98304,5.239263541,90561
depth_rope,29,4,2,3.1738228788308334,98304,5.239263541,90561
depth_rope,29,4,4,3.1182161803299095,98304,5.239263541,90561
depth_rope,29,4,6,3.1372344027040526,98304,5.239263541,90561
depth_rope,29,4,8,3.1671499457006576,98304,5.239263541,90561
depth_rope,29,4,12,3.235477545473259,98304,5.239263541,90561
depth_rope,29,4,16,3.3141672964848112,98304,5.239263541,90561
depth_rope,43,4,1,3.505090869643027,98304,5.821604917000002,90561
depth_rope,43,4,2,3.228748975030612,98304,5.821604917000002,90561
depth_rope,43,4,4,3.158810925495345,98304,5.821604917000002,90561
depth_rope,43,4,6,3.1754570090561174,98304,5.821604917000002,90561
depth_rope,43,4,8,3.2079457953223027,98304,5.821604917000002,90561
depth_rope,43,4,12,3.28447981752106,98304,5.821604917000002,90561
depth_rope,43,4,16,3.3551021435996518,98304,5.821604917000002,90561
combined,17,4,1,3.355641189555172,98304,5.396398957999999,90561
combined,17,4,2,3.129365960790892,98304,5.396398957999999,90561
combined,17,4,4,3.0806250350287883,98304,5.396398957999999,90561
combined,17,4,6,3.0953794484667014,98304,5.396398957999999,90561
combined,17,4,8,3.113932833293802,98304,5.396398957999999,90561
combined,17,4,12,3.153322834215942,98304,5.396398957999999,90561
combined,17,4,16,3.190676346071996,98304,5.396398957999999,90561
combined,29,4,1,3.4139613160514273,98304,5.2641799989999924,90561
combined,29,4,2,3.1386587115121074,98304,5.2641799989999924,90561
combined,29,4,4,3.0709601669659605,98304,5.2641799989999924,90561
combined,29,4,6,3.089116217874107,98304,5.2641799989999924,90561
combined,29,4,8,3.1106216771149775,98304,5.2641799989999924,90561
combined,29,4,12,3.155819483465166,98304,5.2641799989999924,90561
combined,29,4,16,3.1957851662300527,98304,5.2641799989999924,90561
combined,43,4,1,3.3751737955899443,98304,5.89756608399999,90561
combined,43,4,2,3.1764107652852545,98304,5.89756608399999,90561
combined,43,4,4,3.1190459644858493,98304,5.89756608399999,90561
combined,43,4,6,3.130219235783443,98304,5.89756608399999,90561
combined,43,4,8,3.1472352657292504,98304,5.89756608399999,90561
combined,43,4,12,3.182468727551168,98304,5.89756608399999,90561
combined,43,4,16,3.2115616280643735,98304,5.89756608399999,90561
normalized_skip,17,4,1,3.5051749063422903,98304,5.491254041999998,90561
normalized_skip,17,4,2,3.1989834446139866,98304,5.491254041999998,90561
normalized_skip,17,4,4,3.09994509803073,98304,5.491254041999998,90561
normalized_skip,17,4,6,3.121433937441907,98304,5.491254041999998,90561
