arm,seed,depth,nll,ppl,best_depth,presented_tokens
relative_fixed16,23,1,6.488989968595018,657.8585697251265,16,24969216
relative_fixed16,23,2,4.89199390399808,133.21893517853366,16,24969216
relative_fixed16,23,4,4.439360922805963,84.72078125016758,16,24969216
relative_fixed16,23,8,4.303653853211496,73.96957449706272,16,24969216
relative_fixed16,23,12,4.280391814037936,72.26875037166378,16,24969216
relative_fixed16,23,16,4.277260972937649,72.04284222352375,16,24969216
relative_fixed16,23,24,4.284133050807434,72.53963127668433,16,24969216
relative_fixed16,23,32,4.293746330596929,73.24033769508345,16,24969216
relative_fixed16,23,48,4.31045629555279,74.47446355503973,16,24969216
relative_fixed16,23,64,4.323081786666585,75.42070101981727,16,24969216
relative_fixed16,47,1,6.399829669844889,601.742534243406,16,24969216
relative_fixed16,47,2,4.825941949065717,124.70387777884399,16,24969216
relative_fixed16,47,4,4.373397122819269,79.3126092407238,16,24969216
relative_fixed16,47,8,4.255050120636126,70.46034861742741,16,24969216
relative_fixed16,47,12,4.2365006622359624,69.16539478866541,16,24969216
relative_fixed16,47,16,4.2340351979359125,68.99508001578297,16,24969216
relative_fixed16,47,24,4.239004137308475,69.33876555454621,16,24969216
relative_fixed16,47,32,4.245888432803847,69.81776098718564,16,24969216
relative_fixed16,47,48,4.257670128543902,70.64519733480012,16,24969216
relative_fixed16,47,64,4.266455229662452,71.26855666517108,16,24969216
relative_fixed16_mlp_first,23,1,7.46678218496241,1748.969759953147,16,24969216
relative_fixed16_mlp_first,23,2,5.625887320144691,277.5184229924174,16,24969216
relative_fixed16_mlp_first,23,4,4.6942659678668655,109.31853586594578,16,24969216
relative_fixed16_mlp_first,23,8,4.372924257131061,79.27511389500147,16,24969216
relative_fixed16_mlp_first,23,12,4.321381838414082,75.2925986454692,16,24969216
relative_fixed16_mlp_first,23,16,4.315658008449674,74.86286764009157,16,24969216
relative_fixed16_mlp_first,23,24,4.335266938065817,76.34533564621228,16,24969216
relative_fixed16_mlp_first,23,32,4.36222964142172,78.43181443606977,16,24969216
relative_fixed16_mlp_first,23,48,4.410690046963099,82.32625288906638,16,24969216
relative_fixed16_mlp_first,23,64,4.448565375352941,85.50418955221632,16,24969216
relative_fixed16_mlp_first,47,1,7.11677268769018,1232.4664539921682,16,24969216
relative_fixed16_mlp_first,47,2,5.28861322556012,198.06855844999268,16,24969216
relative_fixed16_mlp_first,47,4,4.5458478907693065,94.24029882288842,16,24969216
relative_fixed16_mlp_first,47,8,4.320663339395827,75.23852041716397,16,24969216
relative_fixed16_mlp_first,47,12,4.283446609005448,72.48985412798784,16,24969216
relative_fixed16_mlp_first,47,16,4.27847135139605,72.1300941210896,16,24969216
relative_fixed16_mlp_first,47,24,4.289403993798558,72.92299298903363,16,24969216
relative_fixed16_mlp_first,47,32,4.30471265981903,74.04793544852261,16,24969216
relative_fixed16_mlp_first,47,48,4.331377559798302,76.04897645701054,16,24969216
relative_fixed16_mlp_first,47,64,4.351568924022713,77.60011615436962,16,24969216
combined_random8_16_aux,23,1,6.477089466716485,650.0761219444202,12,24969216
combined_random8_16_aux,23,2,4.9000479282102,134.29621610796582,12,24969216
combined_random8_16_aux,23,4,4.357521581612746,78.06342065323894,12,24969216
combined_random8_16_aux,23,8,4.251266017515515,70.1942232328577,12,24969216
combined_random8_16_aux,23,12,4.241160116650719,69.48841976842617,12,24969216
combined_random8_16_aux,23,16,4.248053046923445,69.96905318395591,12,24969216
combined_random8_16_aux,23,24,4.30211232368108,73.85563605592185,12,24969216
combined_random8_16_aux,23,32,4.359112181615199,78.18768713325359,12,24969216
combined_random8_16_aux,23,48,4.471842006920571,87.51778299304917,12,24969216
combined_random8_16_aux,23,64,4.573321840163213,96.86534712839016,12,24969216
combined_random8_16_aux,47,1,5.773221474908938,321.5720019522935,12,24969216
combined_random8_16_aux,47,2,4.635035477926349,103.0315732769564,12,24969216
combined_random8_16_aux,47,4,4.304151293485826,74.00637909577853,12,24969216
combined_random8_16_aux,47,8,4.217465069198337,67.86124251727037,12,24969216
combined_random8_16_aux,47,12,4.205809874273899,67.074897909393,12,24969216
combined_random8_16_aux,47,16,4.211476369808145,67.45605641545303,12,24969216
combined_random8_16_aux,47,24,4.260809066156419,70.86729659736184,12,24969216
combined_random8_16_aux,47,32,4.3067597602564485,74.199674268882,12,24969216
combined_random8_16_aux,47,48,4.4093335362533725,82.21465215623861,12,24969216
combined_random8_16_aux,47,64,4.496317278265271,89.68623293187285,12,24969216
combined_random8_16_aux_mlp_first,23,1,6.038170489367017,419.12553840020007,12,24969216
combined_random8_16_aux_mlp_first,23,2,4.694175645849665,109.30866244116949,12,24969216
combined_random8_16_aux_mlp_first,23,4,4.353563629274447,77.75505999587027,12,24969216
combined_random8_16_aux_mlp_first,23,8,4.2694338098918,71.48115223833572,12,24969216
combined_random8_16_aux_mlp_first,23,12,4.258543551209951,70.70692740569707,12,24969216
combined_random8_16_aux_mlp_first,23,16,4.262344856744145,70.97621754292624,12,24969216
combined_random8_16_aux_mlp_first,23,24,4.313412737983755,74.69496881405777,12,24969216
combined_random8_16_aux_mlp_first,23,32,4.3607170493422345,78.31326877299165,12,24969216
combined_random8_16_aux_mlp_first,23,48,4.463402710099442,86.78230228044251,12,24969216
combined_random8_16_aux_mlp_first,23,64,4.57903142532335,97.41998996037792,12,24969216
combined_random8_16_aux_mlp_first,47,1,5.786292176883701,325.8027630289096,12,24969216
combined_random8_16_aux_mlp_first,47,2,4.6356795512549756,103.0979545402163,12,24969216
combined_random8_16_aux_mlp_first,47,4,4.308636438485143,74.33905392663625,12,24969216
combined_random8_16_aux_mlp_first,47,8,4.2284574829482855,68.61131638093096,12,24969216
combined_random8_16_aux_mlp_first,47,12,4.217927402499286,67.89262428338867,12,24969216
combined_random8_16_aux_mlp_first,47,16,4.224764154237131,68.35837961306359,12,24969216
combined_random8_16_aux_mlp_first,47,24,4.269639689513303,71.49587026592215,12,24969216
combined_random8_16_aux_mlp_first,47,32,4.316280265089383,74.90946605313067,12,24969216
combined_random8_16_aux_mlp_first,47,48,4.419038166831892,83.01639901976333,12,24969216
combined_random8_16_aux_mlp_first,47,64,4.509740608728755,90.89823724296193,12,24969216
