arm,seed,depth,nll,ppl,best_depth,presented_tokens
combined_random8_24_final,23,1,7.24155264231444,1396.2601813958213,16,24969216
combined_random8_24_final,23,2,5.356067889155365,211.89013075024496,16,24969216
combined_random8_24_final,23,4,4.713654926530639,111.45879004019308,16,24969216
combined_random8_24_final,23,8,4.279068369603525,72.17316995783676,16,24969216
combined_random8_24_final,23,12,4.239771021939493,69.3919607828782,16,24969216
combined_random8_24_final,23,16,4.235719613939343,69.11139436609496,16,24969216
combined_random8_24_final,23,24,4.248981331018848,70.03403449909135,16,24969216
combined_random8_24_final,23,32,4.281754736812516,72.3673142496555,16,24969216
combined_random8_24_final,23,48,4.3547371891249345,77.84636377720068,16,24969216
combined_random8_24_final,23,64,4.428235959294308,83.78348898815143,16,24969216
combined_random8_24_final,47,1,6.662835826332167,782.7675855573933,16,24969216
combined_random8_24_final,47,2,5.044101384914028,155.10485699090836,16,24969216
combined_random8_24_final,47,4,4.523518740184485,92.1593127872753,16,24969216
combined_random8_24_final,47,8,4.232383262917565,68.88119871516285,16,24969216
combined_random8_24_final,47,12,4.194831232126183,66.3425341440068,16,24969216
combined_random8_24_final,47,16,4.185767177296029,65.74391881639879,16,24969216
combined_random8_24_final,47,24,4.194374120795705,66.31221515006271,16,24969216
combined_random8_24_final,47,32,4.217003785789901,67.82994647074975,16,24969216
combined_random8_24_final,47,48,4.2723966663152355,71.69325468879146,16,24969216
combined_random8_24_final,47,64,4.328816359673398,75.85444902718639,16,24969216
combined_random8_24_final,71,1,6.600337125953021,735.3430506861225,16,24969216
combined_random8_24_final,71,2,5.015337288324919,150.70695989246718,16,24969216
combined_random8_24_final,71,4,4.529174769696243,92.68204548241197,16,24969216
combined_random8_24_final,71,8,4.223359387868955,68.26241947696649,16,24969216
combined_random8_24_final,71,12,4.187116358886553,65.83267916480467,16,24969216
combined_random8_24_final,71,16,4.179884214293154,65.35828522063315,16,24969216
combined_random8_24_final,71,24,4.185413091844206,65.72064397208511,16,24969216
combined_random8_24_final,71,32,4.2036859832828295,66.93258931546178,16,24969216
combined_random8_24_final,71,48,4.2470926184174695,69.90188517094222,16,24969216
combined_random8_24_final,71,64,4.291839431937627,73.10080886927163,16,24969216
combined_random8_24_final,89,1,6.512505673812201,673.5119062124986,16,24969216
combined_random8_24_final,89,2,5.002132346654361,148.72996505586892,16,24969216
combined_random8_24_final,89,4,4.521966714545601,92.0163901094868,16,24969216
combined_random8_24_final,89,8,4.2292521277843615,68.6658596775938,16,24969216
combined_random8_24_final,89,12,4.194593583253137,66.32676978879726,16,24969216
combined_random8_24_final,89,16,4.187890007442116,65.88363022851645,16,24969216
combined_random8_24_final,89,24,4.198658111172499,66.59690541139966,16,24969216
combined_random8_24_final,89,32,4.221671683415483,68.14730985044777,16,24969216
combined_random8_24_final,89,48,4.276974637568643,72.02221676275185,16,24969216
combined_random8_24_final,89,64,4.335242360377232,76.34345927738636,16,24969216
combined_random8_24_aux,23,1,5.833894909772724,341.6869304475624,16,24969216
combined_random8_24_aux,23,2,4.672206091150993,106.93338720921994,16,24969216
combined_random8_24_aux,23,4,4.335523243850946,76.36490590528419,16,24969216
combined_random8_24_aux,23,8,4.225343707098633,68.39800838995227,16,24969216
combined_random8_24_aux,23,12,4.207494988271042,67.18802204548064,16,24969216
combined_random8_24_aux,23,16,4.205460864391934,67.05149219184175,16,24969216
combined_random8_24_aux,23,24,4.217376978445842,67.85526483264506,16,24969216
combined_random8_24_aux,23,32,4.245175114510903,69.76797645931924,16,24969216
combined_random8_24_aux,23,48,4.315594174868938,74.85808902770553,16,24969216
combined_random8_24_aux,23,64,4.389998969406262,80.64033587300902,16,24969216
combined_random8_24_aux,47,1,5.839114876400034,343.47518808353425,16,24969216
combined_random8_24_aux,47,2,4.6493092616328395,104.51276965897115,16,24969216
combined_random8_24_aux,47,4,4.320997432095648,75.26366125703241,16,24969216
combined_random8_24_aux,47,8,4.214267378189938,67.64458981106964,16,24969216
combined_random8_24_aux,47,12,4.195829519726286,66.40879614196469,16,24969216
combined_random8_24_aux,47,16,4.193891492971991,66.2802187517763,16,24969216
combined_random8_24_aux,47,24,4.203238254015856,66.90262834401334,16,24969216
combined_random8_24_aux,47,32,4.2312116971197655,68.80054711219154,16,24969216
combined_random8_24_aux,47,48,4.297824017607262,73.53959860022383,16,24969216
combined_random8_24_aux,47,64,4.363962485885174,78.5678423950836,16,24969216
combined_random8_24_aux,71,1,5.7205237368289445,305.06465471943983,16,24969216
combined_random8_24_aux,71,2,4.632908808572145,102.8126920140847,16,24969216
combined_random8_24_aux,71,4,4.312995138372582,74.66378273622465,16,24969216
combined_random8_24_aux,71,8,4.208930704359295,67.28455424950671,16,24969216
combined_random8_24_aux,71,12,4.189161398880939,65.96744738286341,16,24969216
combined_random8_24_aux,71,16,4.186428901454197,65.78743755284387,16,24969216
combined_random8_24_aux,71,24,4.19476514515455,66.3381499117067,16,24969216
combined_random8_24_aux,71,32,4.219029419263334,67.96748433444371,16,24969216
combined_random8_24_aux,71,48,4.279025844108456,72.17010082331228,16,24969216
combined_random8_24_aux,71,64,4.339687553850978,76.68357610683303,16,24969216
combined_random8_24_aux,89,1,6.191089377435272,488.3778443336036,16,24969216
