arm,seed,presented_tokens,depth,nll,ppl,best_depth,training_seconds,peak_allocated_bytes
combined_random8_16_aux,23,24969216,1,6.477089466716485,650.0761219444202,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,2,4.9000479282102,134.29621610796582,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,4,4.357521581612746,78.06342065323894,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,8,4.251266017515515,70.1942232328577,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,12,4.241160116650719,69.48841976842617,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,16,4.248053046923445,69.96905318395591,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,24,4.30211232368108,73.85563605592185,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,32,4.359112181615199,78.18768713325359,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,48,4.471842006920571,87.51778299304917,12,762.1384720709175,6986187776
combined_random8_16_aux,23,24969216,64,4.573321840163213,96.86534712839016,12,762.1384720709175,6986187776
combined_random8_16_aux,47,24969216,1,5.773221474908938,321.5720019522935,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,2,4.635035477926349,103.0315732769564,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,4,4.304151293485826,74.00637909577853,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,8,4.217465069198337,67.86124251727037,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,12,4.205809874273899,67.074897909393,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,16,4.211476369808145,67.45605641545303,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,24,4.260809066156419,70.86729659736184,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,32,4.3067597602564485,74.199674268882,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,48,4.4093335362533725,82.21465215623861,12,768.2155017429031,6986187776
combined_random8_16_aux,47,24969216,64,4.496317278265271,89.68623293187285,12,768.2155017429031,6986187776
relative_fixed16,23,24969216,1,6.488989968595018,657.8585697251265,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,2,4.89199390399808,133.21893517853366,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,4,4.439360922805963,84.72078125016758,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,8,4.303653853211496,73.96957449706272,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,12,4.280391814037936,72.26875037166378,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,16,4.277260972937649,72.04284222352375,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,24,4.284133050807434,72.53963127668433,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,32,4.293746330596929,73.24033769508345,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,48,4.31045629555279,74.47446355503973,16,907.2281037638895,5273992192
relative_fixed16,23,24969216,64,4.323081786666585,75.42070101981727,16,907.2281037638895,5273992192
relative_fixed16,47,24969216,1,6.399829669844889,601.742534243406,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,2,4.825941949065717,124.70387777884399,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,4,4.373397122819269,79.3126092407238,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,8,4.255050120636126,70.46034861742741,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,12,4.2365006622359624,69.16539478866541,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,16,4.2340351979359125,68.99508001578297,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,24,4.239004137308475,69.33876555454621,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,32,4.245888432803847,69.81776098718564,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,48,4.257670128543902,70.64519733480012,16,906.7499784892425,5274516480
relative_fixed16,47,24969216,64,4.266455229662452,71.26855666517108,16,906.7499784892425,5274516480
